X,Y,Name,country,provincia,concello,LUGAR_E_PARROQUIA
-7.7548795,42.396100526168,A Trona dos Pensamentos,España,Ourense,O Pereiro de Aguiar,Pousada
-8.621595,42.363257026168,Pedra Furada,España,Pontevedra,Pontevedra,Cacheiro
-8.6213584,42.362419126168,Mirador natural,España,Pontevedra,O Toural,Paredes
-6.9519304,43.079615826168,Mirador de Arexo,España,Lugo,Negueira de Muñiz,Entorno rural
-7.3206672,43.225182826168,Lagoa de Fomiñá,España,Lugo,Pastoriza,Paraxes
-7.262987,43.212859226168,Pedregal de Irimia - Nacimiento río Miño,España,Lugo,Meira,Irimia Alta
-8.1480519,42.105753926168,Mirador de A Quinta,España,Ourense,Padrenda,Freáns
-7.7146466,42.439623226168,Miradoiro da Lampa,España,Ourense,Luíntra,O Alcouce
-8.9838277,42.703389426168,Monte Enxa,España,A Coruña,O Porto do Son,Entorno rural
-8.7307791,42.661136326168,Laguna de Pedras Miúdas,España,Pontevedra,Catoira,O Miradoiro
-7.3306466,43.024529826168,Área recreativa da Veiga do Olmo,España,Lugo,Castroverde,Castroverde
-8.5110042,42.517568226168,Mirador de San Xusto,España,Pontevedra,Cerdedo Cotobade,San Xurxo
-7.3440557,42.860855526168,Area Recreativa Manuel Fernández Arrojo,España,Lugo,Láncara,Balse
-7.4092305,42.769076326168,Inicio Ruta das Aceas,España,Lugo,Sarria,A Ribela
-7.122201,42.825924726168,Bosque Os Grobos,España,Lugo,Becerreá,O Marco
-7.2626931,43.212526226168,Pedregal de Irimia,España,Lugo,Meira,Irimia Alta
