PROVINCIA,wikidata_provincia,CODIGO_PROVINCIA,CONCELLO,wikidata_concello,CODIGO_CONCELLO,PRAIA,wikidata_praia,LUGAR_E_PARROQUIA,LONXITUDE,TIPO,TIPO_DE_AREA,COORDENADAS,Coordenada_X,Coordenada_Y,MAIS_INFORMACION_EN_TURGALICIA,lat,lon,id_uri,provincia_canon,pais,id_concello,id_provincia
A Coruña Province,Q82119,15,Carballo,Q166137,15019,Razo,Q28121665,Razo da Costa - Razo (San Martiño),1300.0,Praia aberta,Fina,"43.28969600,-8.70877800",43.289696,-8.708778,http://www.turismo.gal/recurso/-/detalle/9863,43.289696,-8.708778,praia-azul-razo-15019,A Coruña,España,carballo-a-coruna-espana,a-coruna
A Coruña Province,Q82119,15,A Coruña,Q8757,15030,Beach Of As Lapas,Q18576114,Paseo Marítimo,70.0,Praia resgardada,Grosa,"43.383666,-8.40575",43.383666,-8.40575,http://www.turismo.gal/ficha-recurso?cod_rec=11435,43.383666,-8.40575,praia-azul-beach-of-as-lapas-15030,A Coruña,España,a-coruna-a-coruna-espana,a-coruna
A Coruña Province,Q82119,15,A Coruña,Q8757,15030,Playa Del Matadero,Q18576276,Orzán,600.0,Praia aberta,Grosa,"43.371055,-8.404972",43.371055,-8.404972,http://www.turismo.gal/ficha-recurso?cod_rec=9856,43.371055,-8.404972,praia-azul-playa-del-matadero-15030,A Coruña,España,a-coruna-a-coruna-espana,a-coruna
A Coruña Province,Q82119,15,A Coruña,Q8757,15030,Playa De Oza,Q12398085,,110.0,Praia resgardada,Fina,"43.34675000,-8.38308300",43.34675,-8.383083,http://www.turismo.gal/recurso?cod_rec=30564,43.34675,-8.383083,praia-azul-playa-de-oza-15030,A Coruña,España,a-coruna-a-coruna-espana,a-coruna
A Coruña Province,Q82119,15,A Coruña,Q8757,15030,Praia De Riazor,Q3399382,Paseo Marítimo,600.0,Praia aberta,Grosa,"43.368472,-8.411639",43.368472,-8.411639,http://www.turismo.gal/ficha-recurso?cod_rec=9857,43.368472,-8.411639,praia-azul-praia-de-riazor-15030,A Coruña,España,a-coruna-a-coruna-espana,a-coruna
A Coruña Province,Q82119,15,A Coruña,Q8757,15030,Beach Of Santo Amaro,Q20546375,Adormideras,210.0,Praia resgardada,Fina,"43.381833,-8.397055",43.381833,-8.397055,http://www.turismo.gal/ficha-recurso?cod_rec=9855,43.381833,-8.397055,praia-azul-beach-of-santo-amaro-15030,A Coruña,España,a-coruna-a-coruna-espana,a-coruna
A Coruña Province,Q82119,15,Dumbría,Q549319,15034,Ézaro,Q28121828,Ézaro (Santa Uxía),730.0,Praia aberta,Fina,"42.908278,-9.129083",42.908278,-9.129083,http://www.turismo.gal/ficha-recurso?cod_rec=11460,42.908278,-9.129083,praia-azul-ezaro-15034,A Coruña,España,dumbria-a-coruna-espana,a-coruna
A Coruña Province,Q82119,15,Ferrol,Q485329,15406,Caranza,Q28121455,Avenida del Mar,600.0,Praia resgardada,Grosa,"43.47703822412904,-8.202436910976175",43.47703822412904,-8.202436910976175,https://www.turismo.gal/recurso/-/detalle/10225/caranza,43.47703822412904,-8.202436910976175,praia-azul-caranza-15406,A Coruña,España,ferrol-a-coruna-espana,a-coruna
A Coruña Province,Q82119,15,Ferrol,Q485329,15406,Fragata,Q28121841,Covas (San Martiño),160.0,Praia aberta,Fina,"43.5385,-8.296833",43.5385,-8.296833,http://www.turismo.gal/ficha-recurso?cod_rec=10216,43.5385,-8.296833,praia-azul-fragata-15406,A Coruña,España,ferrol-a-coruna-espana,a-coruna
A Coruña Province,Q82119,15,Ferrol,Q485329,15406,Doniños,Q28121846,Doniños - Doniños (San Román),1700.0,Praia aberta,Fina,"43.495916,-8.319194",43.495916,-8.319194,http://www.turismo.gal/ficha-recurso?cod_rec=10112,43.495916,-8.319194,praia-azul-doninos-15406,A Coruña,España,ferrol-a-coruna-espana,a-coruna
A Coruña Province,Q82119,15,Ferrol,Q485329,15406,Esmelle,Q28121842,Esmelle - Esmelle (San Xoán),160.0,Praia aberta,Fina,"43.53425,-8.295527",43.53425,-8.295527,http://www.turismo.gal/ficha-recurso?cod_rec=265393177,43.53425,-8.295527,praia-azul-esmelle-15406,A Coruña,España,ferrol-a-coruna-espana,a-coruna
A Coruña Province,Q82119,15,Ferrol,Q485329,15406,San Xurxo,Q28121843,Vila da Area - San Xurxo da Mariña (San Xurxo),2100.0,Praia aberta,Fina,"43.526222,-8.301806",43.526222,-8.301806,http://www.turismo.gal/ficha-recurso?cod_rec=10111,43.526222,-8.301806,praia-azul-san-xurxo-15406,A Coruña,España,ferrol-a-coruna-espana,a-coruna
A Coruña Province,Q82119,15,A Laracha,Q924043,15041,Salseira De Caracoleiro,Q28121860,Caión - Caión (Santa María do Socorro),800.0,Praia resgardada,Fina,"43.315639,-8.610333",43.315639,-8.610333,http://www.turismo.gal/ficha-recurso?cod_rec=11438,43.315639,-8.610333,praia-azul-salseira-de-caracoleiro-15041,A Coruña,España,a-laracha-a-coruna-espana,a-coruna
A Coruña Province,Q82119,15,Laxe,Q1620185,15117,Laxe,Q28121874,Laxe (Santa María),1320.0,Praia resgardada,Fina,"43.217206,-9.0029587",43.217206,-9.0029587,http://www.turismo.gal/ficha-recurso?cod_rec=9867,43.217206,-9.0029587,praia-azul-laxe-15117,A Coruña,España,laxe-a-coruna-espana,a-coruna
A Coruña Province,Q82119,15,Malpica De Bergantiños,Q596761,15113,Maior De Malpica,Q28121685,Malpica,800.0,Praia aberta,Fina,"43.32331266438123,-8.815276501138147",43.32331266438123,-8.815276501138147,https://www.turismo.gal/recurso/-/detalle/11447/area-maior,43.32331266438123,-8.815276501138147,praia-azul-maior-de-malpica-15113,A Coruña,España,malpica-de-bergantinos-a-coruna-espana,a-coruna
A Coruña Province,Q82119,15,Miño,Q1616112,15630,Perbes,Q28121893,Miño,500.0,Praia resgardada,Fina,"43.37602600,-8.21491700",43.376026,-8.214917,http://www.turismo.gal/recurso/-/detalle/10117/perbes,43.376026,-8.214917,praia-azul-perbes-15630,A Coruña,España,mino-a-coruna-espana,a-coruna
A Coruña Province,Q82119,15,Miño,Q1616112,15630,Pequeña De Miño,Q28121898,Miño,700.0,Praia resgardada,Fina,"43.3495099999242,-8.210029371615443",43.3495099999242,-8.210029371615443,https://www.turismo.gal/recurso/-/detalle/10242/pequena-de-mino-a-ribeira,43.3495099999242,-8.210029371615443,praia-azul-pequena-de-mino-15630,A Coruña,España,mino-a-coruna-espana,a-coruna
A Coruña Province,Q82119,15,Miño,Q1616112,15630,Fariones Playa,Q24023700,Miño,1400.0,Praia resgardada,Fina,"43.35928000,-8.20944400",43.35928,-8.209444,https://www.turismo.gal/recurso/-/detalle/10119/grande-de-mino,43.35928,-8.209444,praia-azul-fariones-playa-15630,A Coruña,España,mino-a-coruna-espana,a-coruna
A Coruña Province,Q82119,15,Muros,Q578957,15250,San Francisco,Q28121907,Muros,800.0,Praia resgardada,Fina,"42.759113863184346, -9.073862845516617",42.759113863184346,-9.073862845516617,http://www.turismo.gal/ficha-recurso?cod_rec=10128,42.759113863184346,-9.073862845516617,praia-azul-san-francisco-15250,A Coruña,España,muros-a-coruna-espana,a-coruna
A Coruña Province,Q82119,15,Oleiros,Q688611,15058,Beach Of Bastiagueiro,Q12398074,Perillo - Perillo (Santa Locaia),580.0,Praia aberta,Fina,"43.340722,-8.362361",43.340722,-8.362361,http://www.turismo.gal/ficha-recurso?cod_rec=10258,43.340722,-8.362361,praia-azul-beach-of-bastiagueiro-15058,A Coruña,España,oleiros-a-coruna-espana,a-coruna
A Coruña Province,Q82119,15,Oleiros,Q688611,15058,Q28121966,Q28121966,,310.0,Praia resgardada,Fina,"43.382777,-8.3425",43.382777,-8.3425,http://www.turismo.gal/ficha-recurso?cod_rec=265406054,43.382777,-8.3425,praia-azul-q28121966-15058,A Coruña,España,oleiros-a-coruna-espana,a-coruna
A Coruña Province,Q82119,15,Oleiros,Q688611,15058,Mera,Q12398083,A Lagoa - Maianca (San Cosme),200.0,Praia resgardada,Fina,"43.379055,-8.33775",43.379055,-8.33775,http://www.turismo.gal/ficha-recurso?cod_rec=10254,43.379055,-8.33775,praia-azul-mera-15058,A Coruña,España,oleiros-a-coruna-espana,a-coruna
A Coruña Province,Q82119,15,Oleiros,Q688611,15058,A Aguieira,Q20545069,A Aguieira - Dorneda (San Martiño),180.0,Praia resgardada,Cantos rodados,"43.353389,-8.346555",43.353389,-8.346555,http://www.turismo.gal/ficha-recurso?cod_rec=11434,43.353389,-8.346555,praia-azul-a-aguieira-15058,A Coruña,España,oleiros-a-coruna-espana,a-coruna
A Coruña Province,Q82119,15,Oleiros,Q688611,15058,Beach Of Santa Cristina,Q12398093,Perillo - Perillo (Santa Locaia),1800.0,Praia aberta,Fina,"43.339777,-8.380083",43.339777,-8.380083,http://www.turismo.gal/ficha-recurso?cod_rec=9877,43.339777,-8.380083,praia-azul-beach-of-santa-cristina-15058,A Coruña,España,oleiros-a-coruna-espana,a-coruna
A Coruña Province,Q82119,15,A Pobra Do Caramiñal,Q300525,15940,Lombiña,Q28121679,Lombiña,600.0,Praia resgardada,Fina,"42.587299056497315,-8.929797373709878",42.587299056497315,-8.929797373709878,https://www.turismo.gal/recurso/-/detalle/9914/cabio-lombina,42.587299056497315,-8.929797373709878,praia-azul-lombina-15940,A Coruña,España,a-pobra-do-caraminal-a-coruna-espana,a-coruna
A Coruña Province,Q82119,15,Ponteceso,Q1450823,15068,Balarés,Q28122018,Balarés - Cospindo (San Tirso),350.0,Praia resgardada,Fina,"43.24166500,-8.94527700",43.241665,-8.945277,http://www.turismo.gal/recurso/-/detalle/11448/balares,43.241665,-8.945277,praia-azul-balares-15068,A Coruña,España,ponteceso-a-coruna-espana,a-coruna
A Coruña Province,Q82119,15,Ponteceso,Q1450823,15068,Ermida,Q28122017,Gondomil - Corme Aldea (Santo Adrán),200.0,Praia resgardada,Fina,"43.26389000,-8.95000000",43.26389,-8.95,http://www.turismo.gal/recurso/-/detalle/10286/ermida,43.26389,-8.95,praia-azul-ermida-15068,A Coruña,España,ponteceso-a-coruna-espana,a-coruna
A Coruña Province,Q82119,15,Ponteceso,Q1450823,15068,Osmo,Q28122016,O Porto de Corme - Corme Porto (Nosa Señora dos Remedios),150.0,Praia resgardada,Fina,"43.29416700,-8.90277800",43.294167,-8.902778,http://www.turismo.gal/recurso/-/detalle/10284/osmo,43.294167,-8.902778,praia-azul-osmo-15068,A Coruña,España,ponteceso-a-coruna-espana,a-coruna
A Coruña Province,Q82119,15,As Pontes De García Rodríguez,Q1442761,15320,As Pontes Lake,Q4802948,Vilavella (Santa María),400.0,Praia resgardada,Grosa,"43.454911751447035,-7.870142559382717",43.454911751447035,-7.870142559382717,https://www.turismo.gal/recurso/-/detalle/220620000208/praia-do-lago-das-pontes,43.454911751447035,-7.870142559382717,praia-azul-as-pontes-lake-15320,A Coruña,España,as-pontes-de-garcia-rodriguez-a-coruna-espana,a-coruna
Lugo Province,Q95027,27,Barreiros,Q1634820,27792,San Pedro,Q28122190,San Cosme - San Cosme de Barreiros,800.0,Praia aberta,Fina,"43.564465,-7.2200447",43.564465,-7.2200447,http://www.turismo.gal/ficha-recurso?cod_rec=10157,43.564465,-7.2200447,praia-azul-san-pedro-27792,Lugo,España,barreiros-lugo-espana,lugo
Lugo Province,Q95027,27,Barreiros,Q1634820,27792,Fontela,Q28122189,,700.0,Praia aberta,Fina,"43.56172,-7.20108",43.56172,-7.20108,https://www.turismo.gal/recurso/-/detalle/9830/fontela-balea,43.56172,-7.20108,praia-azul-fontela-27792,Lugo,España,barreiros-lugo-espana,lugo
Lugo Province,Q95027,27,Burela,Q1619456,27902,Marosa,Q28122225,Burela (Santa María),300.0,Praia aberta,Fina,"43.67486,-7.372333",43.67486,-7.372333,http://www.turismo.gal/ficha-recurso?cod_rec=9841,43.67486,-7.372333,praia-azul-marosa-27902,Lugo,España,burela-lugo-espana,lugo
Lugo Province,Q95027,27,Burela,Q1619456,27902,Portelo,Q28119618,Burela (Santa María),700.0,Praia resgardada,Fina,"43.664399,-7.3592247",43.664399,-7.3592247,http://www.turismo.gal/ficha-recurso?cod_rec=10169,43.664399,-7.3592247,praia-azul-portelo-27902,Lugo,España,burela-lugo-espana,lugo
Lugo Province,Q95027,27,Cervo,Q1616622,27013,O Torno,Q28122231,San Cibrao - Lieiro (Santa María),700.0,Praia resgardada,Fina,"43.698333,-7.438889",43.698333,-7.438889,http://www.turismo.gal/ficha-recurso?cod_rec=10174,43.698333,-7.438889,praia-azul-o-torno-27013,Lugo,España,cervo-lugo-espana,lugo
Lugo Province,Q95027,27,Foz,Q917878,27019,A Rapadoira,Q28122198,Foz - Foz (Santiago),270.0,Praia resgardada,Fina,"43.57202500,-7.24855500",43.572025,-7.248555,http://www.turismo.gal/recurso?cod_rec=9833,43.572025,-7.248555,praia-azul-a-rapadoira-27019,Lugo,España,foz-lugo-espana,lugo
Lugo Province,Q95027,27,Foz,Q917878,27019,Areoura,Q28122216,,120.0,Praia resgardada,Fina,"43.64000000,-7.34416600",43.64,-7.344166,http://www.turismo.gal/recurso?cod_rec=11411,43.64,-7.344166,praia-azul-areoura-27019,Lugo,España,foz-lugo-espana,lugo
Lugo Province,Q95027,27,Foz,Q917878,27019,Area Da Fame,Q28122206,,280.0,Praia aberta,Fina,"43.620277,-7.318333",43.620277,-7.318333,http://www.turismo.gal/ficha-recurso?cod_rec=10163,43.620277,-7.318333,praia-azul-area-da-fame-27019,Lugo,España,foz-lugo-espana,lugo
Lugo Province,Q95027,27,Foz,Q917878,27019,Llas,Q9060688,,760.0,Praia aberta,Fina,"43.580277,-7.262778",43.580277,-7.262778,http://www.turismo.gal/ficha-recurso?cod_rec=9836,43.580277,-7.262778,praia-azul-llas-27019,Lugo,España,foz-lugo-espana,lugo
Lugo Province,Q95027,27,Foz,Q917878,27019,Peizás,Q28122200,,540.0,Praia aberta,Fina,"43.5875,-7.27861",43.5875,-7.27861,http://www.turismo.gal/ficha-recurso?cod_rec=10161,43.5875,-7.27861,praia-azul-peizas-27019,Lugo,España,foz-lugo-espana,lugo
Lugo Province,Q95027,27,Ribadeo,Q824076,27051,As Catedrais Beach,Q2561808,,,"Monumento Natural: 28,94 ha, das cales 20 ha son augas mariñas. LIC: 304,36 ha",,"43.554221,-7.155308",43.554221,-7.155308,http://www.turismo.gal/ficha-recurso?cod_rec=32008,43.554221,-7.155308,praia-azul-as-catedrais-beach-27051,Lugo,España,ribadeo-lugo-espana,lugo
Lugo Province,Q95027,27,Ribadeo,Q824076,27051,Os Castros,Q28122005,A Rochela - A Devesa (Santalla),500.0,Praia aberta,Fina,"43.55534,-7.132955",43.55534,-7.132955,http://www.turismo.gal/ficha-recurso?cod_rec=9823,43.55534,-7.132955,praia-azul-os-castros-27051,Lugo,España,ribadeo-lugo-espana,lugo
Lugo Province,Q95027,27,O Vicedo,Q944524,27064,Abrela,Q28122144,Abrela - Suegos (Santa María),950.0,Praia resgardada,Fina,"43.701822,-7.612778",43.701822,-7.612778,https://www.turismo.gal/recurso/-/detalle/9853,43.701822,-7.612778,praia-azul-abrela-27064,Lugo,España,o-vicedo-lugo-espana,lugo
Lugo Province,Q95027,27,O Vicedo,Q944524,27064,Xilloi,Q28122158,Xilloi - O Vicedo (Santo Estevo),940.0,Praia resgardada,Fina,"43.743777,-7.650277",43.743777,-7.650277,http://www.turismo.gal/ficha-recurso?cod_rec=9852,43.743777,-7.650277,praia-azul-xilloi-27064,Lugo,España,o-vicedo-lugo-espana,lugo
Lugo Province,Q95027,27,Viveiro,Q641221,27066,Beach Of Area,Q6078571,Area - Faro (San Xiao),1200.0,Praia resgardada,Fina,"43.694166,-7.57611",43.694166,-7.57611,http://www.turismo.gal/ficha-recurso?cod_rec=10146,43.694166,-7.57611,praia-azul-beach-of-area-27066,Lugo,España,viveiro-lugo-espana,lugo
Lugo Province,Q95027,27,Xove,Q1111013,27025,"Beach Of Esteiro, Xuances",Q28122238,Ceranzos - Xuances (San Pedro),400.0,Praia aberta,Fina,"43.711944,-7.559139",43.711944,-7.559139,http://www.turismo.gal/ficha-recurso?cod_rec=10148,43.711944,-7.559139,praia-azul-beach-of-esteiro-xuances-27025,Lugo,España,xove-lugo-espana,lugo
Pontevedra Province,Q95086,36,Baiona,Q748867,36300,Praia Da Ribeira,Q24023109,Baiona (Santa María),170.0,Praia resgardada,Fina,"42.12164,-8.84911",42.12164,-8.84911,http://www.turismo.gal/ficha-recurso?cod_rec=10522,42.12164,-8.84911,praia-azul-praia-da-ribeira-36300,Pontevedra,España,baiona-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Baiona,Q748867,36300,Barbeira,Q20543479,Baiona (Santa María),220.0,Praia resgardada,Fina,"42.12393,-8.84854",42.12393,-8.84854,http://www.turismo.gal/ficha-recurso?cod_rec=10523,42.12393,-8.84854,praia-azul-barbeira-36300,Pontevedra,España,baiona-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Baiona,Q748867,36300,Concheira,Q20543488,Paseo de Pinzón - Baiona (Santa María),75.0,Praia aberta,Grosa,"42.12268,-8.85157",42.12268,-8.85157,http://www.turismo.gal/ficha-recurso?cod_rec=10525,42.12268,-8.85157,praia-azul-concheira-36300,Pontevedra,España,baiona-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Baiona,Q748867,36300,Os Frades,Q20543521,Baiona (Santa María),80.0,Praia aberta,Grosa,"42.12574,-8.85184",42.12574,-8.85184,http://www.turismo.gal/ficha-recurso?cod_rec=10524,42.12574,-8.85184,praia-azul-os-frades-36300,Pontevedra,España,baiona-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Baiona,Q748867,36300,Playa Marta,Q20543497,,250.0,Praia resgardada,Fina,"42.11455,-8.83817",42.11455,-8.83817,http://www.turismo.gal/ficha-recurso?cod_rec=10521,42.11455,-8.83817,praia-azul-playa-marta-36300,Pontevedra,España,baiona-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Baiona,Q748867,36300,Praia Ladeira,Q20543532,Baiona,1700.0,Praia resgardada,Fina,"42.11245394805069,-8.83354753316014",42.11245394805069,-8.83354753316014,https://www.turismo.gal/recurso/-/detalle/9807/ladeira,42.11245394805069,-8.83354753316014,praia-azul-praia-ladeira-36300,Pontevedra,España,baiona-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Bueu,Q1632909,36004,Area De Bon,Q28119957,Bon de Arriba - Beluso (Santa María),1000.0,Praia aberta,Fina,"42.314361,-8.818888",42.314361,-8.818888,http://www.turismo.gal/ficha-recurso?cod_rec=10464,42.314361,-8.818888,praia-azul-area-de-bon-36004,Pontevedra,España,bueu-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Bueu,Q1632909,36004,Lagos,Q28119956,Montemogos - Beluso (Santa María),250.0,Praia resgardada,Fina,"42.324508,-8.825548",42.324508,-8.825548,http://www.turismo.gal/ficha-recurso?cod_rec=10135,42.324508,-8.825548,praia-azul-lagos-36004,Pontevedra,España,bueu-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Bueu,Q1632909,36004,Lapamán Beach,Q9060675,,800.0,Praia aberta,Fina,"42.341944,-8.7525",42.341944,-8.7525,http://www.turismo.gal/ficha-recurso?cod_rec=11370,42.341944,-8.7525,praia-azul-lapaman-beach-36004,Pontevedra,España,bueu-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Bueu,Q1632909,36004,Portomaior,Q28119828,Castrelo - Cela (Santa María),750.0,Praia aberta,Fina,"42.334527,-8.768388",42.334527,-8.768388,http://www.turismo.gal/ficha-recurso?cod_rec=10132,42.334527,-8.768388,praia-azul-portomaior-36004,Pontevedra,España,bueu-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,A Guarda,Q300433,36023,Area Grande,Q28120073,A Guarda - A Guarda (Santa María),300.0,Praia resgardada,Fina,"41.91025,-8.876166",41.91025,-8.876166,http://www.turismo.gal/ficha-recurso?cod_rec=10526,41.91025,-8.876166,praia-azul-area-grande-36023,Pontevedra,España,a-guarda-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,A Guarda,Q300433,36023,O Muíño,Q28120087,O Muíño - Camposancos (Santa Isabel),2000.0,Praia aberta,Fina,"41.876444,-8.862944",41.876444,-8.862944,http://www.turismo.gal/ficha-recurso?cod_rec=10529,41.876444,-8.862944,praia-azul-o-muino-36023,Pontevedra,España,a-guarda-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,A Illa De Arousa,Q300446,36901,Area Da Secada,Q12398070,,500.0,Praia resgardada,Fina,"42.567972,-8.887111",42.567972,-8.887111,http://www.turismo.gal/ficha-recurso?cod_rec=10092,42.567972,-8.887111,praia-azul-area-da-secada-36901,Pontevedra,España,a-illa-de-arousa-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,A Illa De Arousa,Q300446,36901,Camaxe,Q28119833,,,Praia resgardada,Grosa,"42.544389,-8.867499",42.544389,-8.867499,http://www.turismo.gal/ficha-recurso?cod_rec=258852417,42.544389,-8.867499,praia-azul-camaxe-36901,Pontevedra,España,a-illa-de-arousa-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Marín,Q634078,36026,Aguete Beach,Q28119934,Aguete - Seixo (Nosa Señora do Carme),920.0,Praia resgardada,Fina,"42.37386,-8.731472",42.37386,-8.731472,http://www.turismo.gal/ficha-recurso?cod_rec=10140,42.37386,-8.731472,praia-azul-aguete-beach-36026,Pontevedra,España,marin-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Marín,Q634078,36026,Mogor,Q28119933,O Monte - Mogor (San Xurxo),400.0,Praia resgardada,Fina,"42.385972,-8.719416",42.385972,-8.719416,http://www.turismo.gal/ficha-recurso?cod_rec=10139,42.385972,-8.719416,praia-azul-mogor-36026,Pontevedra,España,marin-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Marín,Q634078,36026,Portocelo Beach,Q28119932,O Monte - Mogor (San Xurxo),225.0,Praia resgardada,Fina,"42.390027,-8.71425",42.390027,-8.71425,http://www.turismo.gal/ficha-recurso?cod_rec=10138,42.390027,-8.71425,praia-azul-portocelo-beach-36026,Pontevedra,España,marin-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Marín,Q634078,36026,A Coviña,Q28116185,Casás - Ardán (Santa María),350.0,Praia resgardada,Fina,"42.348889,-8.751444",42.348889,-8.751444,http://www.turismo.gal/ficha-recurso?cod_rec=10454,42.348889,-8.751444,praia-azul-a-covina-36026,Pontevedra,España,marin-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Moaña,Q1617430,36029,O Con,Q28122317,O Con - Tirán (San Xoán),150.0,Praia aberta,Fina,"42.271083,-8.740527",42.271083,-8.740527,http://www.turismo.gal/ficha-recurso?cod_rec=10143,42.271083,-8.740527,praia-azul-o-con-36029,Pontevedra,España,moana-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Poio,Q1631776,36992,Cabeceira Beach,Q28119930,Campelo - Poio (San Xoán),200.0,Praia resgardada,Fina,"42.422453,-8.6823",42.422453,-8.6823,http://www.turismo.gal/ficha-recurso?cod_rec=9796,42.422453,-8.6823,praia-azul-cabeceira-beach-36992,Pontevedra,España,poio-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Poio,Q1631776,36992,Xiorto,Q28119914,Poio,300.0,Praia resgardada,Fina,"42.422453,-8.6823",42.422453,-8.6823,https://www.turismo.gal/recurso/-/detalle/9784/xiorto,42.422453,-8.6823,praia-azul-xiorto-36992,Pontevedra,España,poio-pontevedra-espana,pontevedra
